id,standardNameKo,standardNameEn,category,parentId,quantityType,defaultUnit,fridge,freezer,pantry
"74e75ad3-e6fd-50c5-ab10-bd85837d7a71","대파",,"VEGETABLE",,"COUNTABLE","개","7","30",
"6a30766e-3657-58d7-a799-81570838ea67","쪽파",,"VEGETABLE",,"MEASURABLE","g","7","30",
"f15b1235-1488-59e1-ad2c-e211b6e6e7d0","양파",,"VEGETABLE",,"COUNTABLE","개","7","30","60"
"489718a1-9ce7-5bea-af8c-642995c48eb4","마늘",,"VEGETABLE",,"MEASURABLE","g","7","30","90"
"eed38381-5997-57d0-a926-e89b837b331f","감자",,"VEGETABLE",,"COUNTABLE","개","7","30","60"
"13777ab5-c179-570c-a702-95fe70bcc6e0","고구마",,"VEGETABLE",,"COUNTABLE","개","7","30","30"
"1f962203-6e89-5d18-ac5c-0700b39b70e1","당근",,"VEGETABLE",,"COUNTABLE","개","7","30",
"ed9cd8b9-438a-5d39-a357-eabf80382141","무",,"VEGETABLE",,"COUNTABLE","개","7","30",
"b9c33969-c889-5800-a771-58221f1905c1","배추",,"VEGETABLE",,"COUNTABLE","개","7","30",
"ac3c18ff-0530-5717-aa15-10671eaa21aa","양배추",,"VEGETABLE",,"COUNTABLE","개","7","30",
"2d292104-44f3-53e0-a74a-3028e878c3d0","상추",,"VEGETABLE",,"MEASURABLE","g","7","30",
"98dd12e8-e931-565c-a85a-872fff57453f","깻잎",,"VEGETABLE",,"MEASURABLE","g","7","30",
"7bfe489d-67f0-571e-a213-70058b7a74eb","시금치",,"VEGETABLE",,"MEASURABLE","g","7","30",
"ef40a5b9-8db8-5b0e-af76-86b51e6d23b0","콩나물",,"VEGETABLE",,"MEASURABLE","g","7","30",
"9fd4e68c-d7bb-5f1c-a476-27d21daec8af","숙주",,"VEGETABLE",,"MEASURABLE","g","7","30",
"d1b2aac2-c5d2-5d6c-a924-136d4d37e981","애호박",,"VEGETABLE",,"COUNTABLE","개","7","30",
"5026d916-370d-53e5-add7-d2004d2945cc","주키니",,"VEGETABLE",,"COUNTABLE","개","7","30",
"e7f37a3a-609b-5a1a-aaad-c4ba2bdd20ce","가지",,"VEGETABLE",,"COUNTABLE","개","7","30",
"321d4ec6-8fb3-599a-ac8a-27b21bf057fd","오이",,"VEGETABLE",,"COUNTABLE","개","7","30",
"361b427f-3622-52ed-ae9b-265ea5651f22","청양고추",,"VEGETABLE",,"COUNTABLE","개","7","30",
"8e220973-b793-5e7d-ab94-6232de6e3994","풋고추",,"VEGETABLE",,"COUNTABLE","개","7","30",
"139c1007-8c68-5254-a7f2-7529a5aea24c","홍고추",,"VEGETABLE",,"COUNTABLE","개","7","30",
"507728da-6152-5f99-ad27-cf296e6993b1","파프리카",,"VEGETABLE",,"COUNTABLE","개","7","30",
"2ac5edcb-7539-5bf0-a42e-0b61e4602ab5","브로콜리",,"VEGETABLE",,"COUNTABLE","개","7","30",
"c6bb5307-a7da-5d79-a321-177962dca843","버섯",,"VEGETABLE",,"MEASURABLE","g","7","30",
"c73c2bf1-8dbb-5e67-aad7-62358724f790","표고버섯",,"VEGETABLE",,"COUNTABLE","개","7","30",
"b396a397-4418-5db9-a22e-6c8ebb631b9b","팽이버섯",,"VEGETABLE",,"MEASURABLE","g","7","30",
"51aa4bbd-31db-59e2-a1e1-704fec377d06","새송이버섯",,"VEGETABLE",,"COUNTABLE","개","7","30",
"a58f26b5-28ff-5a8a-a1d7-821ce4da0a9e","느타리버섯",,"VEGETABLE",,"MEASURABLE","g","7","30",
"4df6b8a2-0a05-5fe7-a3d8-5294efb25af3","부추",,"VEGETABLE",,"MEASURABLE","g","7","30",
"582a1967-410c-5d6e-abe2-91e40735a820","미나리",,"VEGETABLE",,"MEASURABLE","g","7","30",
"b7a3b8dc-8f88-5b62-af0d-9fe6529cc776","연근",,"VEGETABLE",,"MEASURABLE","g","7","30",
"f4814b72-39c2-57cb-a119-35f3d7fb2f79","우엉",,"VEGETABLE",,"MEASURABLE","g","7","30",
