id,name,imageUrl,cookTimeMin,difficulty,servings,caloriesEst,steps,tags,requiredTools,source,isActive
"bf43592b-b989-5485-ab6e-29e311cc0b6d","된장찌개",,"10","NORMAL","2","180","[""쌀뜨물이나 물에 된장을 체에 걸러 풀고 중불로 끓인다."",""애호박을 반달 모양으로 썰어 넣고 5분간 끓인다."",""두부를 깍둑썰기 해서 넣고 3분 더 끓인다."",""어슷 썬 대파를 넣고 한소끔 끓인 뒤 간을 맞춰 마무리한다.""]","[""한식"",""집밥""]","[""냄비""]","NaengPago Seed v1","true"
"4eee5d6c-aa04-5488-ac59-a2fea88590db","김치찌개",,"15","EASY","2","250","[""돼지고기를 한입 크기로 썰어 냄비에 넣고 중불에서 겉면을 볶는다."",""잘 익은 김치를 썰어 넣고 함께 5분간 볶아 감칠맛을 낸다."",""물을 자작하게 붓고 뚜껑을 덮어 15분간 끓인다."",""두부를 도톰하게 썰어 넣고 5분 더 끓인다."",""어슷 썬 대파를 올리고 간을 맞춰 마무리한다.""]","[""집밥""]","[""냄비""]","NaengPago Seed v1","true"
"e64cd3c8-6bfb-528c-a57f-1081a5d09b54","순두부찌개",,"20","EASY","2","200","[""달군 냄비에 고춧가루와 기름을 넣고 약불에서 볶아 고추기름을 낸다."",""물을 붓고 끓으면 순두부를 큼직하게 떠 넣는다."",""중불에서 5분간 끓여 간을 맞춘다."",""달걀을 깨 넣고 반숙으로 익힌다."",""어슷 썬 대파를 올려 마무리한다.""]","[""집밥""]","[""냄비""]","NaengPago Seed v1","true"
"f302e76e-2b74-57b2-a6b9-347e252b0356","부대찌개",,"25","EASY","2","350","[""햄과 소시지를 먹기 좋게 썰고 김치는 한입 크기로 썬다."",""냄비에 김치, 햄, 소시지, 두부를 보기 좋게 담는다."",""육수를 재료가 잠기도록 붓고 센 불에서 끓인다."",""끓어오르면 중불로 줄여 10분간 끓여 재료를 익힌다."",""간을 확인하고 부족하면 소금으로 맞춰 마무리한다.""]","[""한식"",""집밥""]","[""냄비""]","NaengPago Seed v1","true"
"28c531f4-856c-55c8-ab94-825a58ee741a","미역국",,"30","EASY","2","120","[""불린 미역을 먹기 좋은 길이로 자른다."",""냄비에 참기름을 두르고 소고기와 미역을 넣어 중불에서 볶는다."",""물을 붓고 센 불에서 끓이다가 끓어오르면 중약불로 줄인다."",""뚜껑을 덮고 20분간 끓여 미역을 부드럽게 익힌다."",""국간장으로 간을 맞춰 마무리한다.""]","[""집밥""]","[""냄비""]","NaengPago Seed v1","true"
"e8eb6078-d9cb-52b0-a38d-8e0a6fa85703","소고기무국",,"35","EASY","2","150","[""무를 나박하게 썰고 소고기는 한입 크기로 썬다."",""냄비에 소고기와 무를 넣고 중불에서 볶는다."",""물을 붓고 센 불에서 끓이다가 거품을 걷어낸다."",""중불로 줄여 무가 투명해질 때까지 15분간 끓인다."",""국간장으로 간하고 어슷 썬 대파를 넣어 마무리한다.""]","[""집밥""]","[""냄비""]","NaengPago Seed v1","true"
"47d47c65-02f8-5493-a599-848e439f3167","북엇국",,"40","EASY","2","140","[""북어채를 물에 살짝 불려 물기를 짠다."",""냄비에 참기름을 두르고 북어와 채 썬 무를 볶는다."",""물을 붓고 중불에서 10분간 끓여 뽀얀 국물을 낸다."",""풀어둔 달걀을 돌려 넣고 저어 익힌다."",""어슷 썬 대파를 넣고 소금으로 간해 마무리한다.""]","[""한식"",""집밥""]","[""냄비""]","NaengPago Seed v1","true"
"91716fd3-12e2-5178-ab84-acf6fa3be4c6","콩나물국",,"10","EASY","2","60","[""콩나물을 깨끗이 씻어 꼬리를 다듬는다."",""냄비에 물과 콩나물을 넣고 뚜껑을 덮어 센 불에서 끓인다."",""끓기 시작하면 뚜껑을 열지 않고 5분간 더 끓인다."",""다진 마늘을 넣고 소금으로 간을 맞춘다."",""어슷 썬 대파를 올려 마무리한다.""]","[""집밥""]","[""냄비""]","NaengPago Seed v1","true"
"bc9adc24-821d-5558-a35f-c0a8bb4a28ea","계란국",,"15","EASY","2","90","[""냄비에 물을 붓고 국간장으로 간을 맞춰 끓인다."",""달걀을 곱게 풀어 준비한다."",""국물이 끓으면 달걀물을 가늘게 돌려 넣는다."",""젓지 않고 잠시 두었다가 부드럽게 저어 익힌다."",""어슷 썬 대파를 올려 마무리한다.""]","[""집밥""]","[""냄비""]","NaengPago Seed v1","true"
"616adc37-8a9b-5936-ae16-887c5ebb8d5b","떡국",,"20","NORMAL","2","350","[""떡국떡을 찬물에 30분간 담가 불린다."",""육수를 끓이고 불린 떡을 넣는다."",""떡이 떠오를 때까지 중불에서 5분간 끓인다."",""풀어둔 달걀을 돌려 넣어 익힌다."",""어슷 썬 대파를 넣고 그릇에 담아 김가루를 올려 마무리한다.""]","[""한식"",""집밥""]","[""냄비""]","NaengPago Seed v1","true"
